File: inputs/1.txt Threads: 1
Value: 1426   Time: 6.89358 ms
Value: 1426   Time: 6.06862 ms
Value: 1426   Time: 8.95197 ms
Value: 1426   Time: 10.4186 ms
Value: 1426   Time: 4.48366 ms
Value: 1426   Time: 4.39188 ms
Value: 1426   Time: 4.54061 ms
Value: 1426   Time: 4.4025 ms
Value: 1426   Time: 4.44666 ms
Value: 1426   Time: 4.44444 ms
Average Execution Time: 5.90426 ms

File: inputs/1.txt Threads: 2
Value: 1426   Time: 3.09382 ms
Value: 1426   Time: 3.06129 ms
Value: 1426   Time: 3.04957 ms
Value: 1426   Time: 3.11158 ms
Value: 1426   Time: 3.34725 ms
Value: 1426   Time: 3.0187 ms
Value: 1426   Time: 3.03741 ms
Value: 1426   Time: 3.05105 ms
Value: 1426   Time: 3.02893 ms
Value: 1426   Time: 3.00626 ms
Average Execution Time: 3.08059 ms

File: inputs/1.txt Threads: 4
Value: 1426   Time: 4.90472 ms
Value: 1426   Time: 4.91436 ms
Value: 1426   Time: 4.96212 ms
Value: 1426   Time: 8.42347 ms
Value: 1426   Time: 5.77049 ms
Value: 1426   Time: 4.77964 ms
Value: 1426   Time: 4.7311 ms
Value: 1426   Time: 4.67805 ms
Value: 1426   Time: 4.68839 ms
Value: 1426   Time: 4.69293 ms
Average Execution Time: 5.25453 ms

File: inputs/1.txt Threads: 8
Value: 1426   Time: 4.66158 ms
Value: 1426   Time: 12.0817 ms
Value: 1426   Time: 4.75965 ms
Value: 1426   Time: 4.95934 ms
Value: 1426   Time: 6.40053 ms
Value: 1426   Time: 4.59622 ms
Value: 1426   Time: 4.70689 ms
Value: 1426   Time: 4.38657 ms
Value: 1426   Time: 4.64744 ms
Value: 1426   Time: 11.265 ms
Average Execution Time: 6.2465 ms

File: inputs/1.txt Threads: 16
Value: 1426   Time: 4.0688 ms
Value: 1426   Time: 4.00614 ms
Value: 1426   Time: 3.75628 ms
Value: 1426   Time: 3.93817 ms
Value: 1426   Time: 3.89672 ms
Value: 1426   Time: 10.5557 ms
Value: 1426   Time: 4.27042 ms
Value: 1426   Time: 11.8109 ms
Value: 1426   Time: 3.94817 ms
Value: 1426   Time: 5.17702 ms
Average Execution Time: 5.54284 ms

File: inputs/2.txt Threads: 1
Value: 304865   Time: 10266.5 ms
Value: 304865   Time: 10385.9 ms
Value: 304865   Time: 9075.08 ms
Value: 304865   Time: 8651.11 ms
Value: 304865   Time: 8900.77 ms
Value: 304865   Time: 8628.29 ms
Value: 304865   Time: 8948.79 ms
Value: 304865   Time: 9011.22 ms
Value: 304865   Time: 8898.6 ms
Value: 304865   Time: 8905.8 ms
Average Execution Time: 9167.2 ms

File: inputs/2.txt Threads: 2
Value: 304865   Time: 5249.28 ms
Value: 304865   Time: 5293.17 ms
Value: 304865   Time: 5312.02 ms
Value: 304865   Time: 5378.33 ms
Value: 304865   Time: 5253.52 ms
Value: 304865   Time: 5319.01 ms
Value: 304865   Time: 5288.91 ms
Value: 304865   Time: 5298.85 ms
Value: 304865   Time: 5335.45 ms
Value: 304865   Time: 5460.7 ms
Average Execution Time: 5318.92 ms

